timestamp;thermostat_navn;temperature;setpoint;reguleringstype;state;heater;heat_percent
2026-08-04T18:13:57;Kogekar;25,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:02;Kogekar;26,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:08;Kogekar;26,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:13;Kogekar;26,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:18;Kogekar;26,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:24;Kogekar;26,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:29;Kogekar;26,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:34;Kogekar;26,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:39;Kogekar;26,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:45;Kogekar;26,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:50;Kogekar;26,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:14:55;Kogekar;26,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:00;Kogekar;27,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:05;Kogekar;27,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:11;Kogekar;27,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:16;Kogekar;27,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:21;Kogekar;27,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:26;Kogekar;27,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:32;Kogekar;27,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:37;Kogekar;27,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:42;Kogekar;27,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:47;Kogekar;27,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:53;Kogekar;27,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:15:58;Kogekar;27,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:03;Kogekar;27,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:08;Kogekar;27,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:13;Kogekar;27,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:19;Kogekar;27,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:24;Kogekar;27,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:29;Kogekar;27,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:34;Kogekar;27,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:40;Kogekar;27,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:45;Kogekar;27,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:50;Kogekar;27,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:16:55;Kogekar;28,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:00;Kogekar;28,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:06;Kogekar;28,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:11;Kogekar;28,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:16;Kogekar;28,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:22;Kogekar;28,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:27;Kogekar;28,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:32;Kogekar;28,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:38;Kogekar;28,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:43;Kogekar;28,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:48;Kogekar;28,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:54;Kogekar;28,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:17:59;Kogekar;28,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:04;Kogekar;28,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:09;Kogekar;28,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:15;Kogekar;28,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:20;Kogekar;28,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:25;Kogekar;28,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:30;Kogekar;28,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:36;Kogekar;28,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:41;Kogekar;28,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:46;Kogekar;29,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:51;Kogekar;29,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:18:56;Kogekar;29,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:02;Kogekar;29,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:07;Kogekar;29,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:12;Kogekar;29,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:17;Kogekar;29,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:23;Kogekar;29,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:28;Kogekar;29,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:33;Kogekar;29,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:38;Kogekar;29,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:44;Kogekar;29,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:49;Kogekar;29,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:54;Kogekar;29,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:19:59;Kogekar;29,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:05;Kogekar;29,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:10;Kogekar;29,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:15;Kogekar;29,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:20;Kogekar;30,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:26;Kogekar;30,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:31;Kogekar;30,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:36;Kogekar;30,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:42;Kogekar;30,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:47;Kogekar;30,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:52;Kogekar;30,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:20:57;Kogekar;30,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:02;Kogekar;30,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:08;Kogekar;30,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:13;Kogekar;30,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:18;Kogekar;31,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:23;Kogekar;31,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:29;Kogekar;31,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:34;Kogekar;31,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:40;Kogekar;31,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:45;Kogekar;31,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:50;Kogekar;31,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:21:55;Kogekar;31,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:01;Kogekar;32,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:06;Kogekar;31,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:11;Kogekar;31,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:17;Kogekar;31,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:22;Kogekar;31,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:27;Kogekar;31,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:32;Kogekar;31,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:37;Kogekar;31,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:43;Kogekar;31,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:48;Kogekar;31,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:53;Kogekar;32,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:22:58;Kogekar;31,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:04;Kogekar;32,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:09;Kogekar;32,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:14;Kogekar;32,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:20;Kogekar;32,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:25;Kogekar;32,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:30;Kogekar;32,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:35;Kogekar;32,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:40;Kogekar;32,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:45;Kogekar;32,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:51;Kogekar;32,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:23:56;Kogekar;32,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:01;Kogekar;32,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:06;Kogekar;33,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:11;Kogekar;33,000;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:17;Kogekar;33,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:22;Kogekar;33,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:27;Kogekar;33,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:32;Kogekar;33,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:38;Kogekar;33,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:43;Kogekar;33,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:48;Kogekar;33,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:53;Kogekar;33,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:24:59;Kogekar;33,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:04;Kogekar;33,600;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:09;Kogekar;33,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:14;Kogekar;33,800;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:20;Kogekar;33,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:25;Kogekar;33,900;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:30;Kogekar;34,100;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:36;Kogekar;34,200;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:41;Kogekar;34,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:46;Kogekar;34,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:52;Kogekar;34,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:25:57;Kogekar;34,300;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:26:02;Kogekar;34,400;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:26:07;Kogekar;34,500;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:26:13;Kogekar;34,700;45,000;auto;Opvarmning;1;100,000
2026-08-04T18:26:18;Kogekar;35,100;45,000;auto;Opvarmning;0;1,200
